,VCF0004,VCF0901a,VCF0204,VCF0206,VCF0207,VCF0209,VCF0210,VCF0211,VCF0212,VCF0213,VCF0217,VCF0218,VCF0219,VCF0220,VCF0223,VCF0224,VCF0227,VCF0228,VCF0231,VCF0232,VCF0233,VCF0234,VCF0253,VCF0290,VCF0291,VCF0310,VCF0346,VCF0347,VCF0348,VCF0349,VCF0358,VCF0359,VCF0360,VCF0361,VCF0370,VCF0371,VCF0372,VCF0373,VCF0374,VCF0380,VCF0386,VCF0392,VCF0450,VCF0451,VCF0475,VCF0481,VCF0487,VCF0493,VCF0501,VCF0502,VCF0502a,VCF0503,VCF0504,VCF0604,VCF0605,VCF0606,VCF0609,VCF0613,VCF0614,VCF0624,VCF0648,VCF0649,VCF0656,VCF0702,VCF0703,VCF0704,VCF0704a,VCF0705,VCF0706,VCF0707,VCF0708,VCF0709,VCF0710,VCF0713,VCF0714,VCF0724,VCF0801,VCF0803,VCF0804,VCF0806,VCF0809,VCF0823,VCF0824,VCF0830,VCF0838,VCF0839,VCF0843,VCF0846,VCF0847,VCF0849,VCF0850,VCF0851,VCF0852,VCF0853,VCF0854,VCF0867,VCF0867a,VCF0870,VCF0871,VCF0872,VCF0876,VCF0876a,VCF0877,VCF0877a,VCF0878,VCF0879,VCF0879a,VCF0880,VCF0880a,VCF0881,VCF0886,VCF0887,VCF0888,VCF0890,VCF0894,VCF9005,VCF9009,VCF9013,VCF9014,VCF9015,VCF9016,VCF9017,VCF9018,VCF9021,VCF9022,VCF9023,VCF9030,VCF9030a,VCF9030b,VCF9030c,VCF9031,VCF9037,VCF9039,VCF9040,VCF9041,VCF9042,VCF9045,VCF9047,VCF9048,VCF9049,VCF9081,VCF9084,VCF9085,VCF9086,VCF9087,VCF9088,VCF9089,VCF9092,VCF9093,VCF9094,VCF9095,VCF9096,VCF9122,VCF9131,VCF9132,VCF9133
127,2008.0,1.0,72.3181818182,74.0,77.6363636364,62.4090909091,45.8181818182,48.8636363636,71.1363636364,87.1363636364,62.3636363636,40.7727272727,79.0909090909,61.8181818182,77.7272727273,61.5454545455,67.1363636364,49.0,45.3636363636,53.0454545455,33.6363636364,64.3181818182,56.9545454545,51.3181818182,39.7727272727,1.0,1.36363636364,1.77272727273,1.5,1.31818181818,1.45454545455,1.59090909091,1.63636363636,1.77272727273,1.68181818182,1.81818181818,1.45454545455,1.27272727273,4.22727272727,3.31818181818,3.0,3.31818181818,1.59090909091,2.72727272727,3.90909090909,1.90909090909,1.54545454545,3.0,2.09090909091,1.68181818182,1.68181818182,2.63636363636,5.27272727273,1.45454545455,1.22727272727,1.04545454545,0.590909090909,0.636363636364,0.590909090909,2.13636363636,557.409090909,152.181818182,116.227272727,1.63636363636,2.45454545455,1.36363636364,1.36363636364,1.36363636364,2.63636363636,1.0,1.09090909091,2.18181818182,2.18181818182,2.36363636364,1.95454545455,1.22727272727,64.5,5.22727272727,3.04545454545,3.09090909091,3.86363636364,1.72727272727,1.31818181818,5.63636363636,1.72727272727,3.22727272727,3.31818181818,1.22727272727,3.22727272727,4.0,1.90909090909,2.36363636364,4.22727272727,2.59090909091,3.31818181818,4.95454545455,4.86363636364,4.54545454545,4.31818181818,6.54545454545,3.54545454545,3.5,3.0,3.22727272727,4.45454545455,4.09090909091,4.36363636364,2.0,3.04545454545,1.86363636364,1.95454545455,2.09090909091,1.36363636364,1.5,2.04545454545,57.4090909091,3.31818181818,2.09090909091,4.0,3.63636363636,3.54545454545,3.31818181818,3.22727272727,4.27272727273,2.81818181818,1.31818181818,5.31818181818,2.22727272727,2.45454545455,2.22727272727,4.63636363636,5.81818181818,3.59090909091,2.63636363636,3.13636363636,4.31818181818,2.18181818182,1.5,1.59090909091,1.59090909091,4.45454545455,2.90909090909,4.90909090909,6.90909090909,5.36363636364,2.22727272727,6.0,5.59090909091,6.13636363636,5.90909090909,6.36363636364,5.09090909091,1.77272727273,2.09090909091,2.36363636364,2.13636363636
128,2008.0,4.0,73.5714285714,71.380952381,71.5952380952,52.4761904762,62.6904761905,62.4285714286,62.8095238095,78.1666666667,68.380952381,61.1666666667,77.1904761905,58.5,76.2142857143,47.7380952381,71.0476190476,54.6904761905,53.8571428571,59.619047619,51.3095238095,57.9047619048,65.0714285714,54.5714285714,56.8333333333,0.880952380952,1.28571428571,1.35714285714,1.90476190476,1.66666666667,1.66666666667,1.69047619048,1.28571428571,1.80952380952,1.64285714286,1.57142857143,1.66666666667,1.42857142857,2.5,3.14285714286,3.61904761905,2.61904761905,1.7380952381,3.2619047619,1.85714285714,2.61904761905,2.71428571429,2.52380952381,1.61904761905,2.88095238095,2.21428571429,3.30952380952,5.7380952381,1.11904761905,1.38095238095,1.30952380952,1.09523809524,1.11904761905,0.904761904762,2.33333333333,406.166666667,141.595238095,100.404761905,1.64285714286,2.5,0.928571428571,0.928571428571,0.928571428571,2.42857142857,0.666666666667,0.0,0.952380952381,0.0,1.69047619048,1.78571428571,0.809523809524,52.5714285714,5.02380952381,3.64285714286,2.04761904762,1.92857142857,2.47619047619,1.57142857143,5.42857142857,1.35714285714,2.66666666667,2.21428571429,1.52380952381,3.7619047619,2.85714285714,2.07142857143,3.16666666667,2.92857142857,2.80952380952,2.40476190476,4.92857142857,4.71428571429,4.7619047619,4.45238095238,5.7619047619,1.66666666667,1.85714285714,1.80952380952,1.78571428571,2.59523809524,3.78571428571,3.85714285714,2.14285714286,3.16666666667,2.21428571429,1.71428571429,1.69047619048,1.59523809524,1.14285714286,1.90476190476,63.6428571429,4.0,1.85714285714,3.69047619048,3.21428571429,4.14285714286,3.78571428571,2.69047619048,3.47619047619,1.64285714286,1.09523809524,4.90476190476,2.35714285714,2.54761904762,2.47619047619,4.71428571429,5.59523809524,3.7619047619,2.95238095238,2.97619047619,4.04761904762,2.0,1.30952380952,1.45238095238,1.47619047619,6.52380952381,3.42857142857,6.14285714286,7.2619047619,6.16666666667,3.33333333333,7.30952380952,5.57142857143,7.47619047619,6.66666666667,7.21428571429,5.52380952381,2.0,2.38095238095,1.90476190476,2.21428571429
129,2008.0,6.0,69.3391608392,72.4055944056,72.4300699301,57.6048951049,61.6608391608,62.6258741259,62.0034965035,74.2867132867,73.9755244755,60.2342657343,77.7762237762,58.8776223776,74.1783216783,43.2062937063,71.8461538462,55.6013986014,52.7972027972,64.2482517483,56.2622377622,57.465034965,64.7202797203,52.2167832168,75.2412587413,1.20629370629,1.36713286713,1.47552447552,1.66433566434,1.68181818182,1.82167832168,1.77972027972,1.35664335664,1.52097902098,1.65034965035,1.72727272727,1.6958041958,1.65384615385,2.55944055944,2.86713286713,3.54895104895,2.6993006993,1.89160839161,3.45104895105,2.25174825175,3.22027972028,3.24475524476,2.34615384615,1.73426573427,2.4020979021,2.12237762238,3.55244755245,5.54545454545,0.958041958042,1.30769230769,1.15384615385,0.772727272727,0.786713286713,0.688811188811,2.14335664336,567.986013986,167.202797203,127.615384615,1.60839160839,2.38111888112,0.902097902098,0.902097902098,0.933566433566,2.24125874126,0.741258741259,0.0,1.08741258741,0.0,1.74475524476,1.84265734266,0.77972027972,53.8006993007,4.63986013986,3.06643356643,1.66433566434,2.07342657343,1.82517482517,1.53146853147,5.24825174825,1.32167832168,2.5,2.13636363636,1.31468531469,3.09440559441,3.01748251748,2.05594405594,3.37062937063,3.56293706294,3.05944055944,3.01048951049,4.93356643357,4.76223776224,4.78321678322,4.6013986014,5.47902097902,2.02097902098,2.16433566434,1.81118881119,1.97902097902,2.57342657343,3.86013986014,3.86013986014,2.27972027972,3.34965034965,2.13986013986,1.53496503497,1.7027972028,1.48951048951,1.26573426573,2.08391608392,62.1258741259,4.25174825175,2.33216783217,3.98601398601,3.22377622378,4.12587412587,3.86363636364,2.92307692308,3.86713286713,2.08741258741,1.40559440559,5.53846153846,2.47902097902,2.58041958042,2.6013986014,4.77622377622,4.73426573427,3.52097902098,3.16433566434,3.4020979021,3.91958041958,1.75174825175,1.42307692308,1.58741258741,1.54195804196,6.55244755245,3.87762237762,6.26923076923,7.32517482517,6.39160839161,3.51748251748,7.40559440559,5.6013986014,7.27622377622,6.51398601399,7.31468531469,5.31468531469,1.93006993007,2.5,2.24125874126,2.39160839161
130,2008.0,8.0,70.202020202,69.3838383838,71.8181818182,54.696969697,54.7070707071,59.696969697,60.5151515152,79.3535353535,69.9898989899,63.0202020202,76.9090909091,59.6464646465,70.2222222222,45.6262626263,66.5656565657,54.0808080808,52.7373737374,59.3434343434,49.8686868687,55.4444444444,59.5353535354,54.5050505051,87.6060606061,1.06060606061,1.34343434343,1.46464646465,1.60606060606,1.50505050505,1.75757575758,1.71717171717,1.26262626263,1.37373737374,1.55555555556,1.56565656566,1.62626262626,1.54545454545,2.55555555556,3.28282828283,3.37373737374,2.54545454545,1.68686868687,3.11111111111,2.17171717172,3.38383838384,3.70707070707,2.45454545455,1.70707070707,3.06060606061,2.49494949495,3.43434343434,5.24242424242,1.08080808081,1.45454545455,1.34343434343,0.707070707071,0.838383838384,0.818181818182,2.25252525253,555.777777778,142.848484848,88.5353535354,1.69696969697,2.49494949495,0.959595959596,0.959595959596,1.05050505051,2.42424242424,0.878787878788,0.888888888889,1.25252525253,1.33333333333,1.67676767677,1.86868686869,0.79797979798,52.4545454545,5.32323232323,3.80808080808,1.79797979798,2.15151515152,2.06060606061,1.70707070707,5.14141414141,1.20202020202,2.39393939394,2.11111111111,1.32323232323,3.11111111111,3.0303030303,1.88888888889,2.9696969697,3.19191919192,2.76767676768,2.72727272727,4.80808080808,4.71717171717,4.81818181818,4.56565656566,5.9696969697,1.9595959596,2.12121212121,2.20202020202,2.35353535354,3.0,3.78787878788,3.85858585859,2.25252525253,3.31313131313,1.88888888889,1.57575757576,1.76767676768,1.62626262626,1.25252525253,1.94949494949,61.1717171717,3.89898989899,2.15151515152,3.45454545455,3.08080808081,3.67676767677,3.39393939394,2.84848484848,3.50505050505,1.73737373737,1.12121212121,3.85858585859,2.0404040404,2.13131313131,2.33333333333,3.93939393939,5.13131313131,3.49494949495,2.78787878788,3.0,3.78787878788,1.85858585859,1.58585858586,1.76767676768,1.52525252525,6.60606060606,3.61616161616,6.25252525253,7.36363636364,6.55555555556,3.41414141414,7.44444444444,5.23232323232,7.34343434343,6.64646464646,7.26262626263,5.36363636364,1.9898989899,2.08080808081,1.82828282828,2.08080808081
131,2008.0,9.0,66.3,77.0,75.7333333333,59.1666666667,70.6333333333,74.2666666667,64.6333333333,76.4333333333,79.4666666667,71.9333333333,78.4666666667,65.0,81.5666666667,46.2666666667,68.2666666667,63.6,59.0,57.5666666667,62.4333333333,65.4666666667,69.0333333333,59.2666666667,94.6,1.43333333333,1.66666666667,1.66666666667,2.53333333333,2.33333333333,2.1,2.16666666667,1.43333333333,1.43333333333,1.93333333333,1.8,1.96666666667,1.93333333333,2.83333333333,4.03333333333,5.03333333333,3.56666666667,2.1,3.8,2.03333333333,4.56666666667,4.8,3.1,1.56666666667,2.16666666667,2.03333333333,4.36666666667,5.1,0.566666666667,1.7,1.4,0.333333333333,0.366666666667,0.366666666667,2.3,704.3,259.8,188.533333333,1.46666666667,2.16666666667,0.7,0.7,0.7,2.1,0.4,0.0,0.466666666667,0.0,1.46666666667,2.03333333333,0.533333333333,52.4333333333,6.23333333333,5.33333333333,0.9,1.13333333333,2.26666666667,3.36666666667,4.46666666667,0.7,2.56666666667,2.4,1.23333333333,2.83333333333,3.53333333333,2.16666666667,3.53333333333,3.93333333333,3.53333333333,3.0,5.13333333333,4.83333333333,4.86666666667,4.66666666667,4.86666666667,2.2,2.3,2.3,2.4,2.93333333333,4.36666666667,4.5,1.96666666667,2.86666666667,2.13333333333,1.23333333333,1.2,1.23333333333,1.06666666667,1.83333333333,65.5,4.66666666667,2.66666666667,4.16666666667,3.46666666667,4.83333333333,4.46666666667,2.8,4.2,2.53333333333,1.76666666667,6.63333333333,3.03333333333,3.03333333333,3.06666666667,5.4,4.83333333333,3.73333333333,3.36666666667,3.9,4.16666666667,1.96666666667,1.23333333333,1.8,2.0,7.33333333333,3.33333333333,6.66666666667,7.96666666667,6.83333333333,4.63333333333,7.76666666667,5.96666666667,7.8,7.06666666667,7.63333333333,5.36666666667,2.1,2.96666666667,2.36666666667,3.2
132,2008.0,10.0,68.5,82.35,78.7,63.7,71.0,66.75,73.25,81.4,71.75,83.1,81.4,58.15,84.1,41.25,73.45,66.75,72.3,57.2,50.5,68.45,77.35,62.45,118.6,1.15,1.35,1.35,1.85,1.9,2.3,1.95,1.05,1.15,1.55,1.65,2.15,1.8,2.6,4.6,4.6,3.0,1.85,3.5,1.95,5.15,5.15,3.35,1.6,3.5,2.7,5.3,4.4,1.05,1.5,1.4,0.8,0.6,0.65,2.1,563.2,107.45,83.3,1.5,2.3,0.45,0.45,0.6,3.8,0.35,0.35,0.3,0.3,1.7,1.6,0.8,57.1,6.3,4.95,1.85,2.2,1.5,1.55,5.3,1.35,3.15,2.7,1.2,3.1,3.2,1.2,2.65,3.05,2.2,2.95,3.6,3.5,4.6,4.4,6.3,2.75,2.65,2.4,2.4,3.4,3.6,3.9,2.1,3.2,2.2,1.3,1.45,1.3,1.2,2.05,73.85,4.35,1.7,3.1,2.5,3.65,3.05,2.4,4.2,0.95,1.15,5.2,2.0,2.0,2.25,4.4,2.95,2.55,2.65,2.95,3.0,1.9,1.3,2.3,1.4,6.95,4.4,6.6,7.35,6.6,5.8,7.4,5.1,7.4,6.4,7.6,4.85,1.5,2.25,1.6,2.2
133,2008.0,11.0,80.5,85.2857142857,83.7142857143,60.0714285714,78.0714285714,68.2857142857,62.7142857143,76.7142857143,70.9285714286,78.6428571429,77.0,65.9285714286,73.2142857143,33.4285714286,71.7857142857,66.3571428571,61.8571428571,54.2142857143,62.2142857143,77.3571428571,67.1428571429,56.2142857143,140.5,1.42857142857,1.14285714286,1.35714285714,1.57142857143,1.92857142857,1.85714285714,1.92857142857,1.14285714286,1.14285714286,1.5,1.71428571429,1.92857142857,1.92857142857,2.42857142857,3.85714285714,4.64285714286,3.78571428571,2.0,3.92857142857,1.57142857143,4.42857142857,4.14285714286,2.42857142857,1.5,3.28571428571,2.71428571429,5.5,4.71428571429,0.928571428571,1.42857142857,1.21428571429,0.428571428571,0.428571428571,0.428571428571,2.28571428571,649.357142857,139.214285714,96.0,1.64285714286,2.35714285714,0.642857142857,0.642857142857,0.642857142857,2.64285714286,0.428571428571,0.0,0.428571428571,0.0,1.85714285714,2.07142857143,0.785714285714,49.6428571429,7.28571428571,6.42857142857,2.78571428571,2.64285714286,1.71428571429,3.71428571429,4.85714285714,1.28571428571,3.07142857143,2.92857142857,1.21428571429,3.14285714286,3.78571428571,1.85714285714,2.85714285714,3.85714285714,2.28571428571,2.85714285714,5.42857142857,5.14285714286,4.42857142857,4.28571428571,5.78571428571,2.64285714286,2.64285714286,2.14285714286,2.28571428571,4.57142857143,3.71428571429,3.85714285714,2.07142857143,3.07142857143,2.64285714286,1.21428571429,1.64285714286,1.64285714286,1.07142857143,1.85714285714,62.0,4.92857142857,2.42857142857,3.21428571429,2.57142857143,3.92857142857,3.5,2.5,3.85714285714,1.57142857143,0.857142857143,5.85714285714,2.28571428571,2.28571428571,2.5,4.71428571429,4.92857142857,4.21428571429,3.85714285714,4.78571428571,4.5,2.14285714286,1.64285714286,1.71428571429,1.21428571429,6.92857142857,3.35714285714,7.35714285714,7.64285714286,7.28571428571,4.85714285714,7.5,4.78571428571,7.57142857143,7.21428571429,7.64285714286,4.21428571429,1.35714285714,2.78571428571,2.0,2.35714285714
134,2008.0,12.0,71.9826589595,71.3063583815,76.1965317919,57.2543352601,61.838150289,61.225433526,66.9132947977,82.5953757225,72.4739884393,58.0867052023,79.1502890173,59.2658959538,77.8670520231,52.5838150289,70.9826589595,60.7225433526,58.6936416185,55.4046242775,46.098265896,65.3930635838,60.9942196532,55.8323699422,91.2312138728,1.26589595376,1.48554913295,1.67630057803,1.65895953757,1.65895953757,1.78612716763,1.77456647399,1.52601156069,1.74566473988,1.96531791908,1.87283236994,1.5549132948,1.56069364162,2.92485549133,3.38150289017,3.17919075145,3.20809248555,1.78034682081,3.11560693642,2.93641618497,2.85549132948,2.90173410405,2.96531791908,1.76878612717,2.65895953757,2.35838150289,3.53757225434,5.35260115607,1.11560693642,1.20809248555,1.26589595376,0.774566473988,0.797687861272,0.71676300578,2.1098265896,552.213872832,152.50867052,119.36416185,1.62427745665,2.43352601156,1.02312138728,1.02312138728,1.04046242775,2.38150289017,0.867052023121,0.0,1.35260115607,0.0,1.93641618497,1.84393063584,0.867052023121,57.3352601156,5.73410404624,4.05202312139,2.15606936416,2.35838150289,1.9710982659,1.98843930636,5.60115606936,1.20809248555,2.56647398844,2.50289017341,1.29479768786,3.19075144509,3.6936416185,1.69942196532,2.93063583815,3.35260115607,2.57803468208,3.08092485549,5.15028901734,5.0,4.8612716763,4.65895953757,5.85549132948,2.64739884393,2.68786127168,2.21387283237,2.35260115607,3.21965317919,4.04624277457,4.17919075145,2.36994219653,3.60693641618,2.09826589595,1.50867052023,1.62427745665,1.4161849711,1.32369942197,2.1098265896,69.3352601156,3.90751445087,2.15606936416,3.54335260116,3.1676300578,3.84971098266,3.46820809249,2.79190751445,3.61271676301,2.06358381503,1.34682080925,4.78034682081,2.21387283237,2.31213872832,2.4161849711,4.64739884393,4.8323699422,3.63005780347,2.63583815029,3.01734104046,4.06358381503,1.84393063584,1.54335260116,1.92485549133,1.40462427746,6.20809248555,3.88439306358,6.09248554913,6.96531791908,6.24855491329,3.52023121387,7.16184971098,5.15028901734,6.90173410405,6.39306358382,6.93641618497,5.24855491329,1.88439306358,2.46242774566,2.05202312139,2.39884393064
135,2008.0,13.0,70.6923076923,75.4487179487,76.1025641026,60.7435897436,63.2051282051,65.0384615385,64.3717948718,83.7948717949,68.1025641026,56.858974359,80.7820512821,60.4615384615,75.3974358974,47.2435897436,69.6666666667,62.3717948718,56.2692307692,54.0512820513,45.8461538462,67.8846153846,63.2692307692,52.2692307692,67.1794871795,1.16666666667,1.26923076923,1.48717948718,1.65384615385,1.51282051282,1.82051282051,1.80769230769,1.4358974359,1.46153846154,1.75641025641,1.70512820513,1.85897435897,1.60256410256,2.87179487179,3.62820512821,3.47435897436,2.66666666667,1.83333333333,3.24358974359,2.4358974359,3.20512820513,3.0,2.38461538462,1.66666666667,2.74358974359,2.33333333333,3.37179487179,5.32051282051,1.10256410256,1.14102564103,1.14102564103,0.564102564103,0.576923076923,0.512820512821,2.12820512821,627.58974359,177.448717949,137.166666667,1.57692307692,2.34615384615,0.961538461538,0.961538461538,1.0,2.35897435897,0.910256410256,0.858974358974,1.41025641026,1.41025641026,1.97435897436,1.66666666667,0.923076923077,54.9871794872,5.70512820513,4.16666666667,2.08974358974,1.91025641026,1.80769230769,1.80769230769,5.28205128205,1.48717948718,2.67948717949,2.70512820513,1.15384615385,2.89743589744,3.35897435897,1.80769230769,3.02564102564,3.85897435897,2.62820512821,3.20512820513,5.07692307692,4.84615384615,4.74358974359,4.48717948718,5.66666666667,2.52564102564,2.5641025641,2.37179487179,2.47435897436,3.24358974359,4.30769230769,4.52564102564,2.30769230769,3.55128205128,2.10256410256,1.58974358974,1.39743589744,1.46153846154,1.21794871795,2.12820512821,66.6282051282,4.15384615385,2.5,3.97435897436,3.33333333333,4.03846153846,3.74358974359,3.15384615385,3.66666666667,2.07692307692,1.65384615385,5.35897435897,2.44871794872,2.55128205128,2.61538461538,4.64102564103,5.03846153846,3.94871794872,3.12820512821,3.42307692308,4.25641025641,1.9358974359,1.35897435897,1.51282051282,1.37179487179,6.25641025641,3.24358974359,5.80769230769,7.20512820513,5.92307692308,3.70512820513,7.17948717949,5.5641025641,7.11538461538,6.21794871795,7.24358974359,5.02564102564,1.87179487179,2.65384615385,2.28205128205,2.52564102564
136,2008.0,17.0,68.4827586207,85.0344827586,69.7586206897,55.1379310345,73.6551724138,65.7931034483,58.4827586207,74.3103448276,74.1379310345,75.5517241379,77.2413793103,71.9655172414,79.2413793103,31.5517241379,69.0344827586,59.9655172414,56.5172413793,57.5517241379,55.1379310345,66.8275862069,70.1034482759,53.7586206897,72.2068965517,1.37931034483,1.20689655172,1.65517241379,1.89655172414,1.89655172414,2.13793103448,1.93103448276,1.1724137931,1.10344827586,1.72413793103,1.79310344828,2.06896551724,1.96551724138,1.93103448276,3.89655172414,4.1724137931,2.10344827586,1.93103448276,3.62068965517,1.68965517241,4.72413793103,4.72413793103,1.96551724138,1.55172413793,2.37931034483,1.96551724138,4.44827586207,4.51724137931,1.51724137931,1.10344827586,1.1724137931,0.413793103448,0.51724137931,0.48275862069,2.0,664.0,158.517241379,123.275862069,1.68965517241,2.58620689655,0.758620689655,0.758620689655,0.758620689655,1.48275862069,0.51724137931,0.51724137931,0.448275862069,0.448275862069,1.34482758621,1.75862068966,1.13793103448,50.3793103448,6.8275862069,6.10344827586,2.31034482759,2.55172413793,1.68965517241,2.44827586207,3.75862068966,2.0,3.96551724138,3.31034482759,1.1724137931,2.93103448276,3.0,1.62068965517,3.27586206897,3.41379310345,2.75862068966,2.79310344828,3.44827586207,3.37931034483,4.37931034483,4.41379310345,5.13793103448,2.24137931034,2.27586206897,2.20689655172,2.24137931034,3.06896551724,4.1724137931,4.37931034483,2.13793103448,3.20689655172,1.89655172414,1.10344827586,1.34482758621,1.44827586207,1.27586206897,1.68965517241,65.4482758621,4.55172413793,1.96551724138,4.34482758621,2.34482758621,4.20689655172,4.20689655172,2.37931034483,4.03448275862,1.8275862069,1.03448275862,6.51724137931,2.8275862069,2.8275862069,2.93103448276,5.0,3.37931034483,2.86206896552,3.62068965517,3.65517241379,2.79310344828,1.96551724138,1.27586206897,1.55172413793,1.13793103448,6.0,3.13793103448,5.06896551724,6.86206896552,5.27586206897,4.41379310345,6.72413793103,5.89655172414,6.79310344828,5.31034482759,7.10344827586,4.34482758621,2.13793103448,2.68965517241,1.96551724138,2.51724137931
