,GEO.id,GEO.id2,GEO.display-label,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,Year
1655,0400000US42,42,Pennsylvania,98.5,0.1,0.0,5.9,16.3,9.7,11978310,61.0,4904554,34.7,15.7,3.1,19.0,3.03,68.8,24.5,1569333,62.5,31.4,25.1,3015658,59978.0,7732011,2.7,7.5,4.7,90.6,9.4,64.0,9.7,1.3,3.4,25.8,6036542,16.4,15.3,10.8,2008
1722,0400000US44,44,Rhode Island,98.1,0.1,0.0,5.8,16.0,10.8,1012433,57.3,399107,37.9,16.9,3.5,21.0,3.24,60.6,30.7,146034,58.5,36.6,28.9,271493,5687.0,641671,2.9,7.8,4.1,80.0,20.0,66.7,8.0,1.7,3.7,23.1,519504,15.2,14.4,10.6,2008
1741,0400000US45,45,South Carolina,98.4,0.1,0.0,6.7,17.1,10.1,4333829,58.2,1702300,32.9,14.8,2.9,18.1,3.13,72.5,21.4,570524,65.9,28.2,23.2,1108257,32282.0,2668170,3.9,8.3,6.4,93.9,6.1,62.9,10.9,1.8,3.7,23.3,2020226,21.5,19.5,13.7,2008
1768,0400000US46,46,South Dakota,97.8,0.1,0.0,7.2,17.4,10.4,772914,62.6,319926,35.5,16.9,2.9,18.6,3.01,71.6,21.0,102431,63.0,30.3,25.0,189429,4289.0,467666,1.9,8.1,6.8,94.0,6.0,70.6,9.8,1.6,5.2,16.4,423257,17.1,15.4,10.8,2008
1782,0400000US47,47,Tennessee,98.5,0.1,0.0,6.7,17.1,9.0,6062405,60.1,2434683,33.3,15.2,2.7,18.2,3.07,72.4,21.2,773234,67.5,26.7,22.2,1543855,39693.0,3747566,3.8,9.8,6.3,94.3,5.7,64.3,10.6,1.2,3.4,24.0,2921253,21.5,19.5,13.5,2008
1822,0400000US48,48,Texas,98.0,0.1,0.0,8.3,19.4,10.2,23729772,53.6,8422249,30.3,14.7,2.9,15.6,3.42,72.6,20.5,3359871,68.0,25.5,24.5,6174011,142550.0,13298509,5.1,10.8,6.7,66.2,33.8,66.6,12.4,2.0,3.8,25.1,11463230,22.3,20.6,13.2,2008
1921,0400000US49,49,Utah,97.9,0.1,0.0,9.8,21.3,12.1,2692055,51.0,854244,26.0,12.7,3.4,13.3,3.67,65.3,28.0,417845,66.8,27.0,26.1,696422,9223.0,1306179,4.0,10.5,6.9,86.0,14.0,70.0,13.1,1.9,4.6,21.3,1312261,10.1,9.4,9.1,2008
1948,0400000US50,50,Vermont,98.5,0.1,0.0,5.3,15.4,10.0,599698,62.8,249986,35.8,16.3,4.6,19.5,2.9,66.2,27.2,76920,62.1,32.5,33.7,154314,2769.0,393001,1.8,7.6,5.5,94.7,5.3,70.1,11.1,1.7,6.7,21.9,339847,12.2,10.7,9.9,2008
1959,0400000US51,51,Virginia,97.9,0.2,0.0,6.7,16.7,10.2,7519452,59.5,2961083,32.5,14.7,3.3,17.8,3.08,67.5,25.9,1025487,62.1,31.9,32.9,1987524,32152.0,4635428,3.4,7.0,8.5,86.7,13.3,68.5,10.9,1.5,4.3,26.9,3874420,13.5,12.4,9.1,2008
2018,0400000US53,53,Washington,96.0,0.3,0.0,6.6,16.9,9.4,6405562,59.6,2547663,35.8,17.1,4.2,18.6,3.09,70.8,22.7,816796,66.7,27.7,29.5,1632826,27277.0,3914058,2.7,10.8,6.2,83.3,16.7,67.0,12.2,2.2,5.0,25.4,3219312,13.8,12.5,10.4,2008
2089,0400000US54,54,West Virginia,98.6,0.1,0.0,5.7,15.5,9.0,1768914,63.7,749586,34.5,15.8,2.5,18.6,2.91,71.0,23.2,205216,66.7,29.0,17.4,429609,8909.0,1151259,3.2,7.1,5.4,97.9,2.1,56.5,10.9,1.4,3.0,25.4,784388,22.4,19.3,15.4,2008
2103,0400000US55,55,Wisconsin,98.4,0.1,0.0,6.4,16.9,9.9,5464836,62.2,2249630,34.8,16.5,3.5,18.3,2.99,69.9,24.1,728692,64.1,30.6,26.0,1385594,23074.0,3383117,2.0,8.9,5.3,91.9,8.1,70.0,9.8,1.9,3.8,21.7,2966446,12.9,11.6,9.5,2008
2148,0400000US56,56,Wyoming,97.2,0.0,0.0,7.1,16.9,10.4,518032,61.4,208613,35.0,17.0,3.3,18.0,3.06,71.6,20.1,67081,65.2,29.3,24.1,128655,3293.0,310045,3.8,9.6,8.0,94.1,5.9,70.7,12.7,2.4,5.0,18.7,283908,11.2,9.6,8.7,2008
0,0400000US01,1,Alabama,4822023,1.5,0.1,4822023,48.5,51.5,49.3,50.7,700359,58.0,30.6,4.0,1.4,1845169,1858893,51.1,3.0,11.7,1.9,5.6,41.5,27.0,70.8,23.3,23.4,23.2,681363,42.7,4764428,50.1,56167,43.8,56.2,107512,1.8,9.1,22.3,2012
1,0400000US02,2,Alaska,731449,7.2,0.7,731449,52.1,47.9,53.5,46.5,62119,53.2,32.8,6.7,2.8,251651,300043,45.8,1.9,11.6,1.5,5.6,41.7,26.4,70.7,23.4,24.9,31.3,60928,40.1,721186,46.3,27288,42.3,57.7,25025,1.9,8.1,24.4,2012
2,0400000US04,4,Arizona,6553255,2.7,0.2,6553255,49.8,50.2,51.7,48.3,971086,54.9,30.6,6.7,2.6,2392168,2570325,48.4,2.5,10.9,1.7,4.3,41.7,28.2,69.3,26.3,28.4,26.4,959580,33.8,6468907,47.7,344372,44.8,55.2,531555,1.8,11.9,22.3,2012
3,0400000US05,5,Arkansas,2949131,1.8,0.1,2949131,49.1,50.9,50.2,49.8,441107,59.3,29.4,4.6,1.8,1143859,1141359,52.8,2.9,11.9,2.0,6.6,42.0,25.8,70.7,21.4,20.3,21.6,425525,41.4,2912680,51.9,41071,50.9,49.1,88094,1.7,6.6,24.2,2012
4,0400000US06,6,California,38041430,4.0,0.3,38041430,49.7,50.3,51.6,48.4,4599393,50.1,32.5,7.1,2.3,12552658,15018551,47.4,2.1,8.3,1.9,5.5,38.1,30.5,65.9,28.4,31.2,30.6,4502405,36.6,37572738,48.4,4899682,46.0,54.0,5401150,2.8,12.8,21.0,2012
5,0400000US08,8,Colorado,5187582,3.1,0.2,5187582,50.1,49.9,52.0,48.0,610939,58.6,29.1,6.8,2.4,1996088,2073202,51.3,1.9,10.7,1.4,6.4,39.7,29.4,65.8,27.6,37.7,37.2,595595,32.4,5123944,49.6,201312,45.8,54.2,305046,2.8,13.6,20.6,2012
6,0400000US09,9,Connecticut,3590347,2.4,0.2,3590347,48.7,51.3,50.7,49.3,532024,58.1,31.0,5.0,2.3,1357812,1419508,50.2,2.6,9.0,1.3,6.8,37.9,29.2,67.8,25.3,37.5,36.7,509635,31.7,3555319,49.0,233804,46.4,53.6,261617,2.4,11.0,26.8,2012
7,0400000US10,10,Delaware,917092,2.4,0.2,917092,48.5,51.5,50.0,50.0,140813,56.5,29.1,6.5,2.7,340308,357658,49.8,3.1,10.2,1.8,6.0,37.8,30.8,68.2,26.0,29.1,29.9,137204,32.0,906576,47.3,38082,45.0,55.0,39415,1.7,10.3,23.4,2012
8,0400000US11,11,District of Columbia,632323,2.3,0.2,632323,47.3,52.7,46.4,53.6,71901,55.5,23.6,12.1,2.9,266662,251998,28.8,1.8,8.3,2.1,8.1,25.1,45.1,50.2,41.0,54.5,51.6,69808,33.6,624847,49.2,36348,47.9,52.1,53975,4.4,21.6,20.3,2012
9,0400000US12,12,Florida,19317568,2.2,0.2,19317568,48.9,51.1,50.7,49.3,3508827,55.6,28.9,6.6,2.4,7197943,7757505,48.3,3.1,11.7,2.1,6.1,38.4,30.6,66.3,27.3,27.7,26.0,3441314,33.3,19114620,47.1,1933280,43.9,56.1,1813856,1.9,12.6,21.5,2012
10,0400000US13,13,Georgia,9919945,1.9,0.1,9919945,48.9,51.1,50.3,49.7,1139356,54.1,32.2,5.1,1.8,3532908,3783669,49.2,2.5,9.7,2.2,6.9,40.5,27.6,69.0,23.7,27.9,28.5,1109973,38.2,9796547,50.6,353192,47.2,52.8,586946,2.4,11.9,21.0,2012
11,0400000US15,15,Hawaii,1392313,14.7,7.8,1392313,50.4,49.6,53.9,46.1,210423,50.2,28.6,6.9,2.2,447748,570172,49.7,2.1,8.9,1.5,6.4,38.5,29.8,65.1,28.5,28.2,31.9,205533,34.4,1374852,42.0,140194,39.9,60.1,111672,1.4,11.0,19.2,2012
12,0400000US16,16,Idaho,1595728,2.3,0.2,1595728,50.1,49.9,51.1,48.9,211032,57.8,31.8,5.6,2.2,583106,614964,56.3,2.5,11.3,1.0,4.6,42.5,27.3,71.3,24.5,26.7,24.3,206797,35.1,1573036,50.3,37220,42.8,57.2,59348,1.8,8.9,23.3,2012
