,GEO.id,GEO.id2,GEO.display-label,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,Year
30,0400000US34,34,New Jersey,8864590,2.3,0.2,8864590,48.7,51.3,50.9,49.1,1250314,55.6,32.4,4.7,2.0,3198799,3470727,51.5,2.5,6.9,1.7,7.4,39.5,26.7,67.9,24.5,36.8,35.7,1211763,32.7,8772744,48.6,974020,46.5,53.5,909279,2.8,12.8,23.7,2012
31,0400000US35,35,New Mexico,2085538,3.0,0.1,2085538,49.6,50.4,51.3,48.7,294258,54.5,31.5,5.5,2.6,764996,813641,48.2,2.8,11.7,1.3,5.6,39.6,29.3,68.2,25.7,25.8,26.4,289580,41.4,2060595,51.3,66010,46.8,53.2,126178,1.4,10.6,26.1,2012
32,0400000US36,36,New York,19570261,2.5,0.2,19570261,48.5,51.5,50.0,50.0,2759461,54.7,31.1,6.1,2.4,7238922,7693458,46.7,2.6,7.4,2.2,6.1,37.3,31.2,65.3,28.3,32.9,33.8,2661330,33.8,19352153,47.2,2340833,45.0,55.0,2083537,2.8,11.2,27.3,2012
33,0400000US37,37,North Carolina,9752073,2.1,0.2,9752073,48.7,51.3,50.4,49.6,1346700,58.2,29.8,5.5,2.1,3731325,3777517,51.2,2.6,9.3,2.8,5.7,40.1,28.7,69.4,24.4,26.8,27.9,1304575,36.6,9640490,51.3,239280,46.5,53.5,508792,1.8,9.9,23.7,2012
34,0400000US38,38,North Dakota,699628,2.0,0.0,699628,51.1,48.9,53.4,46.6,100962,63.9,27.0,6.1,3.0,290944,290980,51.6,2.4,9.5,0.7,6.2,36.5,32.8,63.1,31.1,25.9,30.0,95030,32.6,689838,51.8,8232,46.0,54.0,11148,1.5,6.4,24.6,2012
35,0400000US39,39,Ohio,11544225,2.1,0.2,11544225,48.9,51.1,50.2,49.8,1707568,59.5,29.8,5.5,2.5,4554672,4522537,50.0,2.8,11.4,1.5,6.0,39.6,28.3,68.9,24.6,25.6,24.9,1638583,35.3,11414635,49.8,231207,46.0,54.0,220123,1.6,9.4,24.1,2012
36,0400000US40,40,Oklahoma,3814820,7.4,0.3,3814820,49.5,50.5,51.3,48.7,536007,58.0,29.9,5.7,2.1,1446667,1486394,51.6,2.9,12.5,2.0,6.5,42.6,25.4,70.6,22.9,23.4,24.2,517197,40.8,3762311,50.6,68357,46.1,53.9,144927,1.8,8.2,22.8,2012
37,0400000US41,41,Oregon,3899353,3.7,0.3,3899353,49.6,50.4,50.8,49.2,581693,58.9,27.3,8.2,3.1,1516957,1564026,50.4,2.4,11.7,1.7,5.6,38.7,30.7,66.9,27.3,30.1,29.7,572444,37.5,3857465,49.6,151720,44.2,55.8,221047,1.9,10.7,23.3,2012
38,0400000US42,42,Pennsylvania,12763536,1.9,0.1,12763536,48.8,51.2,50.5,49.5,2041930,59.5,29.4,5.4,2.4,4958249,5081824,50.2,3.1,8.5,1.9,6.4,39.1,29.1,67.5,25.7,28.2,27.4,1960414,34.6,12630082,48.7,398495,45.2,54.8,370769,1.7,9.7,26.2,2012
39,0400000US44,44,Rhode Island,1050292,2.5,0.3,1050292,48.3,51.7,49.7,50.3,158825,58.8,28.6,6.4,2.8,413083,416431,47.4,2.2,9.5,1.5,5.9,34.6,35.9,61.9,32.0,31.8,31.1,151520,33.4,1040527,46.1,71278,44.0,56.0,68847,1.7,9.6,27.0,2012
40,0400000US45,45,South Carolina,4723723,1.9,0.1,4723723,48.6,51.4,50.1,49.9,694776,57.3,30.0,5.1,1.9,1787340,1833320,49.6,3.1,9.6,3.2,5.4,40.5,28.1,70.0,24.0,25.2,25.0,676616,37.1,4668886,51.2,81907,45.0,55.0,140069,1.7,9.7,21.4,2012
41,0400000US46,46,South Dakota,833354,2.0,0.1,833354,50.1,49.9,51.8,48.2,121092,60.5,29.3,5.7,2.4,323765,330119,51.0,2.5,11.2,1.2,6.3,40.7,26.8,69.0,24.1,25.1,27.4,114328,34.9,821669,53.2,8804,45.9,54.1,14053,1.7,6.1,24.3,2012
42,0400000US47,47,Tennessee,6456243,1.7,0.1,6456243,48.7,51.3,49.8,50.2,920721,58.4,29.5,5.1,2.0,2480090,2512605,51.2,2.7,11.9,2.0,5.8,41.4,26.5,71.2,22.9,24.2,24.3,893371,39.8,6378278,52.0,105025,47.2,52.8,186616,2.0,9.2,23.3,2012
43,0400000US48,48,Texas,26059203,2.2,0.1,26059203,49.7,50.3,51.1,48.9,2837722,52.8,33.3,4.9,1.8,8970959,9953055,50.9,2.2,9.7,2.3,6.1,42.8,25.0,71.5,22.2,26.9,26.6,2754147,39.1,25711791,49.9,1436948,46.9,53.1,2832745,1.7,10.9,21.6,2012
44,0400000US49,49,Utah,2855287,2.2,0.2,2855287,50.3,49.7,50.6,49.4,271882,51.2,37.3,5.4,1.4,895691,1048088,55.9,1.6,8.5,1.4,6.4,42.0,27.0,67.1,26.2,33.2,28.3,267921,34.6,2805440,48.6,83880,46.5,53.5,156992,2.3,12.1,22.3,2012
45,0400000US50,50,Vermont,626011,1.9,0.2,626011,49.4,50.6,50.7,49.3,98489,64.1,25.0,7.8,3.9,258520,256714,51.4,2.3,11.3,1.3,6.3,35.8,33.8,63.0,30.0,33.2,38.1,95290,31.4,620224,43.1,15416,43.3,56.7,10125,2.4,9.0,27.5,2012
46,0400000US51,51,Virginia,8185867,2.9,0.3,8185867,49.0,51.0,50.8,49.2,1062133,57.7,29.6,5.9,2.0,3038967,3227240,52.0,2.3,8.9,2.0,5.9,38.2,31.7,64.6,29.0,35.9,35.1,1036160,33.6,8085389,48.1,454617,46.9,53.1,492703,2.1,14.8,21.4,2012
47,0400000US53,53,Washington,6897012,4.5,0.4,6897012,49.9,50.1,51.3,48.7,907618,58.3,29.1,7.1,2.8,2636817,2762858,51.4,2.2,10.8,1.5,5.9,40.3,27.6,68.5,25.3,32.2,31.2,887828,35.2,6815763,48.1,434688,45.1,54.9,481711,2.2,12.4,21.3,2012
48,0400000US54,54,West Virginia,1855413,1.8,0.1,1855413,49.1,50.9,50.6,49.4,311104,60.9,27.7,5.5,2.4,741544,749711,51.5,3.3,12.7,1.5,5.5,41.0,28.6,70.1,24.7,17.8,19.4,302559,43.4,1837518,45.1,12579,40.8,59.2,13267,1.8,7.8,26.0,2012
49,0400000US55,55,Wisconsin,5726398,1.9,0.1,5726398,49.6,50.4,50.8,49.2,824030,61.2,28.9,6.0,2.8,2288362,2284469,51.9,2.5,10.3,1.1,5.4,38.8,29.0,69.3,25.2,26.1,28.1,794421,32.1,5660677,51.3,115328,46.9,53.1,156681,1.6,7.9,23.7,2012
50,0400000US56,56,Wyoming,576412,2.9,0.2,576412,50.8,49.2,52.7,47.3,75050,60.1,28.3,7.0,2.8,223513,233110,53.5,2.4,12.0,1.7,6.9,39.2,29.5,66.1,26.2,24.3,25.2,72922,36.6,569734,40.8,7318,33.6,66.4,12202,1.7,7.3,20.7,2012
